date	minute	lat	lon	depth	mag
08-May-1990	731	47.479	-69.977	10.6	0.4
11-May-1990	304	47.611	-70.248	10.1	0.2
22-May-1990	741	47.535	-70.029	7.4	0.5
11-Jun-1990	612	47.646	-69.906	10.7	0.3
12-Jun-1990	946	47.481	-70.114	23.1	0.3
18-Jun-1990	420	47.587	-70.244	12.7	-0.2
25-Jun-1990	231	47.645	-69.856	16.2	0.2
02-Jul-1990	92	47.564	-69.89	15.7	0
16-Jul-1990	706	47.617	-69.971	7.7	2.5
19-Jul-1990	896	47.333	-69.972	18	0.7
26-Jul-1990	486	47.421	-70.456	4.7	-0.3
28-Jul-1990	877	47.609	-69.966	10.5	0.4
31-Jul-1990	910	47.387	-70.249	12	0.6
09-Aug-1990	1204	47.597	-70.228	7.4	0.3
31-Aug-1990	733	47.419	-70.41	6.2	0.6
07-Sep-1990	246	47.791	-69.817	21.9	0.6
12-Sep-1990	552	47.484	-70.038	7.5	-0.3
19-Sep-1990	645	47.811	-70.003	16.7	0
21-Sep-1990	1173	47.578	-70.237	4.1	3.2
26-Sep-1990	1194	47.432	-70.384	4.7	2.1
08-Oct-1990	252	47.274	-70.482	9.8	0.4
12-Oct-1990	574	47.479	-69.999	11.3	-0.1
12-Oct-1990	492	47.547	-69.999	7.5	0
17-Oct-1990	961	47.408	-70.375	17.8	0.5
21-Oct-1990	818	47.398	-70.364	15.8	3.3
26-Oct-1990	1075	47.429	-70.409	6.9	0.2
02-Nov-1990	267	47.397	-70.361	14.9	0.5
04-Nov-1990	188	47.633	-70.238	8	1.5
05-Nov-1990	322	47.648	-70.22	8.7	0.3
06-Nov-1990	690	47.395	-70.151	14.2	3.4
06-Nov-1990	154	47.435	-70.303	11.8	2.2
10-Nov-1990	1439	47.108	-71.092	29.2	2
19-Nov-1990	398	47.251	-70.659	15.2	2.6
13-Dec-1990	230	47.569	-69.906	14.3	0.4
18-Dec-1990	757	47.123	-71.178	20	1.9
18-Dec-1990	430	47.263	-70.336	9.3	3.3
21-Dec-1990	172	47.256	-70.353	8.7	0.6
25-Dec-1990	611	47.994	-69.614	12.1	0.5
16-Jan-1991	103	47.462	-70.063	18.9	0.1
27-Jan-1991	1150	47.682	-70.198	7	0.2
30-Jan-1991	494	47.607	-70.226	17.4	-0.1
01-Feb-1991	354	47.481	-70.38	12.9	0.5
04-Feb-1991	845	47.502	-70.097	13.2	0.1
15-Feb-1991	1225	47.646	-70.127	10.9	0.3
19-Feb-1991	437	47.463	-69.999	11.6	2.5
21-Feb-1991	1022	47.702	-69.883	9.1	0.9
21-Feb-1991	427	47.432	-70.536	20.5	1.7
23-Feb-1991	1428	47.181	-70.367	9.4	0.4
24-Feb-1991	762	47.335	-70.473	12.2	0.6
06-Mar-1991	407	47.647	-69.981	21.2	-0.3
12-Mar-1991	417	47.391	-70.483	10.2	1.9
25-Mar-1991	246	47.617	-69.761	23.6	0.2
26-Mar-1991	798	47.406	-70.503	5.1	1.8
03-Apr-1991	1339	47.812	-70.051	5.5	0.7
14-Apr-1991	308	47.546	-70.03	7.9	0.1
18-Apr-1991	1338	47.604	-70.233	14.3	0.1
26-Apr-1991	59	47.552	-70.023	9.3	0
02-May-1991	762	47.439	-70.136	12.6	0.1
10-May-1991	171	47.582	-70.198	4.6	0.1
23-May-1991	1436	47.544	-70.016	8.6	0.6
07-Jun-1991	560	47.546	-70.521	10.7	0.2
07-Jul-1991	419	47.426	-70.322	10.9	-0.2
23-Jul-1991	63	47.687	-70.103	11.3	1.9
27-Jul-1991	1264	47.345	-70.375	23.3	0.8
27-Jul-1991	159	47.558	-70.095	16.5	2.2
04-Aug-1991	719	47.511	-70.067	13.8	0.1
07-Aug-1991	402	47.614	-70.273	2.9	0
05-Sep-1991	396	47.514	-69.898	23	0.4
10-Sep-1991	360	47.849	-69.774	24.1	-0.2
15-Sep-1991	816	47.246	-70.442	9.2	0.7
18-Sep-1991	1047	47.38	-70.062	24.2	2.1
18-Sep-1991	487	47.471	-70.379	4.9	0
20-Sep-1991	1289	47.51	-70.09	9.3	0.3
20-Sep-1991	699	47.797	-69.834	7.9	0.2
24-Sep-1991	936	47.026	-71.403	18	1.9
30-Sep-1991	1109	47.494	-70.366	6.7	2.3
07-Oct-1991	1404	47.699	-70.037	11.8	0.4
12-Oct-1991	1383	48.302	-71.308	15	3.3
17-Oct-1991	70	47.632	-70.122	13.1	0.1
18-Oct-1991	315	47.347	-69.994	27.5	0.1
22-Oct-1991	299	47.74	-69.723	23.4	0.1
30-Oct-1991	1405	47.783	-69.957	17.2	2.9
02-Nov-1991	174	47.385	-70.441	9.2	0.4
14-Nov-1991	561	47.5	-70.2	18	1.6
14-Nov-1991	287	48.205	-69.588	18	1.6
19-Nov-1991	714	47.433	-70.15	12.8	0.4
23-Nov-1991	160	47.214	-70.575	23.9	1.7
24-Nov-1991	77	47.614	-70.219	13.1	2.7
01-Dec-1991	1405	47.625	-70.029	9.5	0.6
03-Dec-1991	1329	47.638	-69.867	15.4	1.5
15-Dec-1991	1266	47.974	-71.146	27.6	1.5
17-Dec-1991	129	47.573	-70.231	15.6	2.4
29-Dec-1991	373	47.229	-70.429	8.9	1.7
12-Jan-1992	851	47.617	-70.225	13.6	-0.4
13-Jan-1992	544	47.79	-69.819	22.9	0.4
17-Jan-1992	314	47.447	-70.251	12.6	0
17-Jan-1992	16	47.443	-70.392	5	1.5
18-Jan-1992	1243	47.534	-70.408	6.8	-0.1
18-Jan-1992	376	47.626	-70.271	0	-0.3
30-Jan-1992	642	47.539	-70.035	6	2
04-Feb-1992	613	47.418	-70.494	7.5	1.7
11-Feb-1992	756	47.851	-70.205	8.2	1.6
23-Feb-1992	1233	47.526	-70.139	17.3	0.1
26-Feb-1992	378	47.735	-70.144	9.2	-0.2
29-Feb-1992	697	47.564	-69.881	14.5	0.4
03-Mar-1992	1207	47.411	-70.17	8.6	0.3
07-Mar-1992	219	47.785	-69.915	15	-0.1
11-Mar-1992	80	47.718	-69.857	9.4	0.2
13-Mar-1992	346	47.634	-69.895	12	0.3
14-Mar-1992	166	48.057	-69.884	16.1	0.1
15-Mar-1992	1186	47.742	-69.904	18.3	0.6
15-Mar-1992	607	47.5	-70.367	6.8	1.7
15-Mar-1992	565	47.398	-70.408	5.5	0.2
16-Mar-1992	810	47.534	-70.13	17.4	0.2
16-Mar-1992	442	47.248	-70.335	8.6	2
03-Apr-1992	627	47.334	-70.106	18.5	0.4
06-Apr-1992	1046	47.456	-70.087	10.9	2
