    -0.08949     -0.01983      0.16456
     0.46206      0.26318      0.04869     -0.06312
     1.66604      0.08830     -0.10440      0.03854
     0.88397      0.00437      0.07629      0.15732
     1.13197     -0.14801     -0.05439      0.21898
     1.61752     -0.00824     -0.00842     -0.04523
     0.16867     -0.04012     -0.00720     -0.02883
     0.17811      0.01290     -0.02043      0.01232
     0.23989     -0.01830      0.00131     -0.02690
     0.08204     -0.00592      0.04296      0.17814
     1.17737     -0.06604     -0.21590      0.01137
     1.27800     -0.00063      0.05044      0.00801
     0.36829     -0.01965      0.00969     -0.12467
     0.63990     -0.04782     -0.02304      0.10490
     0.74871     -0.00293     -0.02753     -0.01075
     0.14061     -0.14941     -0.00837      0.26112
     1.81436      0.01660      0.05141     -0.00427
     0.38415     -0.01027     -0.00521     -0.01269
     0.02708     -0.07721      0.05366      0.09969
     0.85587      0.04102     -0.04320     -0.28021
     1.58810     -0.02441      0.09103      0.02556
     0.62497     -0.12503     -0.11315     -0.06311
     0.94960      0.07272     -0.24748      0.03489
     1.52758     -0.01042     -0.00538     -0.01425
     0.01876      0.01098     -0.00326      0.08428
     0.60723      0.14021     -0.10998     -0.02172
     1.07974     -0.03090     -0.00223     -0.01771
     0.11208     -0.00482     -0.02408      0.07711
     0.56114     -0.08047     -0.04026     -0.23815
     1.37072     -0.06125      0.04312      0.00836
     0.43300      0.02903     -0.06124     -0.07734
     0.53640     -0.00888     -0.00522     -0.01506
     0.02261     -0.02546     -0.00646     -0.11492
     0.57973     -0.00239     -0.00408      0.01857
     0.21512     -0.02691      0.02740     -0.00181
     0.23195     -0.03466      0.03824     -0.09285
     0.53225      0.00118      0.01490     -0.02257
     0.15021      0.00493     -0.03052     -0.00874
     0.18033     -0.00596     -0.00275     -0.08551
     0.40452     -0.11157      0.00876     -0.03883
     0.60228     -0.01113     -0.10322     -0.00440
     0.57250     -0.05198     -0.12722     -0.03011
     0.74975     -0.03741      0.03334     -0.26790
     1.49548     -0.12334     -0.07360     -0.24030
     1.51360     -0.11021      0.05087     -0.16172
     1.07738      0.00255      0.05991     -0.30083
     1.70479     -0.02266      0.00852     -0.00669
     0.12117      0.04252      0.06744      0.03881
     0.62800     -0.00922      0.06353      0.13860
     0.99713     -0.00396     -0.01102     -0.02449
     0.07182      0.03984      0.03880     -0.01438
     0.40304      0.02198      0.16356     -0.03988
     1.02277      0.00435     -0.02041     -0.20700
     1.12087     -0.07830      0.05070      0.10514
     0.87756      0.01979      0.00141      0.05559
     0.46531     -0.00979      0.01367      0.05794
     0.45286      0.00946     -0.00459      0.00124
     0.16521     -0.01209     -0.00314     -0.01649
     0.01809     -0.02728      0.11214      0.01354
     0.72064     -0.02019      0.00015     -0.00922
     0.07438     -0.01046     -0.00549     -0.01196
     0.03026     -0.00614      0.09586     -0.17842
     1.11969      0.00149     -0.02063     -0.01317
     0.11827     -0.00773     -0.10555     -0.00306
     0.58761     -0.01171     -0.00613     -0.01461
     0.01304      0.02295     -0.02085     -0.12477
     0.67031      0.06617     -0.08004     -0.07859
     0.72677     -0.00375     -0.00533     -0.03676
     0.12713     -0.00929     -0.00661      0.08688
     0.60705     -0.15667     -0.17335     -0.23868
     1.83302      0.02021     -0.11916      0.09132
     0.93471     -0.15015      0.12051      0.07286
     1.21566      0.00879      0.02767     -0.01412
     0.23385     -0.08520      0.24021     -0.09145
     1.56670      0.06555     -0.02651     -0.17301
     1.02845     -0.05298      0.01386     -0.04402
     0.31020     -0.03458      0.00176     -0.02697
     0.15131     -0.01832      0.04182     -0.02695
     0.28963     -0.00841     -0.01177     -0.05231
     0.21167     -0.04577      0.02917     -0.03157
     0.29836     -0.10151      0.08624     -0.01910
     0.75260      0.03192      0.04768     -0.02941
     0.41434     -0.00756      0.02371      0.03070
     0.32964     -0.03540      0.04880     -0.40265
     2.27358     -0.01518      0.01770     -0.04327
     0.20962     -0.03883      0.02026      0.10460
     0.74377      0.18482      0.10398     -0.04329
     1.33058      0.03521     -0.02466      0.03122
     0.40943     -0.28601     -0.07040     -0.05530
     1.66171     -0.07074     -0.01286      0.14311
     0.99748     -0.00583     -0.00865     -0.13512
     0.69390     -0.01446     -0.00348     -0.03195
     0.09118      0.01075      0.01056      0.02494
     0.29554     -0.04982      0.03829     -0.12701
     0.72993      0.06534      0.00284     -0.01586
     0.45705      0.01117     -0.01110     -0.02149
     0.14247     -0.02663     -0.00302     -0.00550
     0.10885      0.09098     -0.03180     -0.23286
     1.40971      0.23597      0.24825     -0.01334
     2.08086     -0.01032     -0.00982     -0.06120
     0.26113     -0.01894     -0.03400      0.11717
     0.80180      0.01812     -0.00948      0.15704
     1.03309     -0.07761     -0.03207     -0.20299
     1.16526     -0.01130     -0.00593     -0.01334
     0.02088     -0.03517      0.03125      0.00283
     0.28167     -0.00512     -0.00016      0.09944
     0.68254     -0.01036     -0.00555     -0.10937
     0.54212      0.01638     -0.06841      0.08567
     0.72131     -0.01026     -0.00673     -0.01274
     0.02641     -0.11302     -0.03449     -0.07109
     0.69055     -0.03934      0.08543      0.03403
     0.63364      0.01585      0.03603      0.08064
     0.64294      0.14914     -0.09551     -0.10019
     1.18480      0.00040     -0.00224      0.00260
     0.13729      0.09644      0.00602     -0.15439
     1.02885     -0.00772     -0.01472     -0.01127
     0.06487     -0.05167      0.09281      0.20788
     1.45568     -0.20232      0.21582      0.02641
     1.72976     -0.04113      0.08353     -0.08304
     0.67463     -0.02682     -0.00644     -0.24530
     1.34050     -0.01659     -0.02739      0.11420
     0.77716     -0.01068     -0.00495     -0.01443
     0.01795      0.07806     -0.02254     -0.09482
     0.70499     -0.04958     -0.08438      0.09214
     0.81475      0.00735      0.03278     -0.16022
     0.87766     -0.24778      0.13271     -0.20300
     1.93317     -0.00797     -0.00854      0.07584
     0.54291      0.01651     -0.08370     -0.27623
     1.59398      0.06630      0.02883     -0.09972
     0.69927      0.13774     -0.02217     -0.16447
     1.23556     -0.27182      0.20933     -0.02392
     1.97118      0.09660     -0.08769     -0.16296
     1.16851     -0.02296      0.01508     -0.01835
     0.13993     -0.00408      0.00261     -0.05932
     0.25870      0.00244     -0.02644     -0.01877
     0.14666     -0.00260      0.03336     -0.01198
     0.24003     -0.01905     -0.03881      0.04269
     0.39899      0.00165      0.04322     -0.06133
     0.39788     -0.01423      0.00109     -0.00787
     0.06845      0.20263      0.20947     -0.11802
     1.87444     -0.01252     -0.00407      0.06746
     0.49331      0.01851      0.01944     -0.03489
     0.25709     -0.02311      0.02160      0.17470
     1.13447     -0.20138     -0.00132     -0.23952
     1.71097     -0.00578     -0.00978      0.15057
     0.98062     -0.08841     -0.11084     -0.05301
     0.78688      0.10908     -0.10743     -0.10697
     1.06484     -0.02888      0.02529     -0.16515
     0.89328      0.00016     -0.04135      0.05521
     0.47449     -0.00572     -0.00157     -0.06386
     0.27956     -0.01118     -0.00436      0.07322
     0.52702     -0.06148     -0.02141      0.06654
     0.57364      0.02681     -0.09586     -0.01148
     0.57319     -0.15982      0.06796     -0.11292
     1.11894     -0.00829     -0.00485     -0.01582
     0.02486      0.00386     -0.00124      0.00627
     0.16701      0.00011     -0.01807      0.03352
     0.31099     -0.05628      0.05542     -0.06870
     0.53771     -0.03260      0.01322     -0.08210
     0.41643      0.03565      0.16791     -0.27433
     1.83612     -0.02595      0.03058     -0.04107
     0.27032      0.16359     -0.17667     -0.05489
     1.45067      0.10572     -0.01268      0.22539
     1.57723     -0.04414      0.04315     -0.15611
     0.88526     -0.03350     -0.08142      0.05046
     0.60358      0.01615      0.04555      0.02239
     0.41463      0.06129      0.19394      0.05661
     1.32003      0.17156      0.02157      0.19565
     1.65226     -0.04647      0.01847      0.01254
     0.30096     -0.01553      0.00591     -0.23289
     1.26722     -0.06411     -0.08379      0.02157
     0.59076     -0.07807     -0.02058     -0.03705
     0.41212     -0.00881     -0.00411      0.01262
     0.17365     -0.04899     -0.26632     -0.07803
     1.57907     -0.00192     -0.02207      0.23972
     1.50562     -0.00935     -0.00644      0.01098
     0.16335     -0.00948     -0.02728      0.01896
     0.24336     -0.00914      0.06806     -0.02734
     0.43949     -0.04827      0.03744      0.14003
     0.97598     -0.06292     -0.02725     -0.00677
     0.32674     -0.20182      0.22425      0.12690
     1.93450      0.00913      0.04902      0.19271
     1.27435      0.01573     -0.01737     -0.04838
     0.25537     -0.05721      0.02192     -0.21457
     1.19882     -0.02898     -0.01968      0.03594
     0.33333     -0.18345     -0.13442      0.08099
     1.37693      0.00835     -0.00382      0.00213
     0.16407      0.00033     -0.00107     -0.05118
     0.21644      0.00607     -0.01119     -0.02574
     0.12263      0.04663     -0.08366      0.02298
     0.61507     -0.01066     -0.00423     -0.01537
     0.01681      0.00806     -0.06569      0.04088
     0.49922      0.11265     -0.02616      0.00511
     0.75113     -0.00670     -0.02525     -0.05009
     0.22692     -0.01430     -0.00085      0.13945
     0.91520     -0.06493     -0.01886      0.03380
     0.43407     -0.04392     -0.08450     -0.03156
     0.50201     -0.02387     -0.05143      0.19371
     1.26218     -0.21038      0.17439      0.01642
     1.58157     -0.02372     -0.06093     -0.06814
     0.44447     -0.00766      0.01412      0.07474
     0.54948     -0.03237     -0.02335      0.00150
     0.18830      0.03888     -0.04693      0.00253
     0.39874     -0.01921      0.00228      0.01239
     0.18249     -0.02839      0.03313      0.00153
     0.27110     -0.19867     -0.01814     -0.05633
     1.11809      0.12352     -0.00089     -0.15075
     1.11682      0.10113     -0.20061      0.06282
     1.39725     -0.01185      0.00070     -0.10381
     0.51106      0.01839      0.00969     -0.00723
     0.20940      0.12132     -0.18167     -0.00696
