    -0.21455     -0.04188      0.45796
     0.83699      0.00804      0.03266      0.12663
     0.24262      0.08601     -0.04356     -0.05042
     0.17851      0.06600     -0.53361      0.55420
     1.25922     -0.03322      0.02830      0.06813
     0.15215     -0.00626     -0.00427     -0.03407
     0.02976      0.02644      0.10646     -0.04728
     0.19894     -0.00478      0.00315      0.18369
     0.32493      0.13782     -0.06469      0.56806
     0.98147     -0.00178      0.00877     -0.05007
     0.06144     -0.00507     -0.00417      0.01512
     0.05299      0.02678     -0.01564     -0.06894
     0.10647     -0.16245     -0.05251     -0.27208
     0.48512      0.03884      0.50825     -0.32439
     0.97337      0.08555     -0.13996      0.09847
     0.32652      0.14295     -0.01694      0.03281
     0.26410      0.24284     -0.16088      0.59756
     1.10496     -0.02636     -0.23819      0.06444
     0.39833     -0.04244     -0.10204      0.04589
     0.19160     -0.03681      0.05881      0.55286
     0.92852      0.18798      0.18772      0.23107
     0.60347     -0.16071     -0.29887      0.13878
     0.58763      0.18508      0.09043      0.05415
     0.37351     -0.00852     -0.00258      0.00087
     0.02975     -0.00077      0.00559     -0.09167
     0.12406     -0.01243     -0.08006     -0.08264
     0.16011     -0.00839      0.22681     -0.04045
     0.37902     -0.15321     -0.10419      0.17023
     0.41078      0.01412      0.22530      0.13895
     0.45345     -0.48817      0.21220     -0.22707
     0.91311     -0.12635     -0.13617     -0.08708
     0.30210     -0.52612      0.06569      0.39190
     1.06874     -0.01070     -0.04507      0.55537
     0.92788      0.23865     -0.07528      0.06740
     0.44246      0.07762     -0.06231     -0.04285
     0.17646     -0.10719      0.10189      0.42234
     0.74767     -0.00234      0.08667      0.05155
     0.18725     -0.13472      0.11521     -0.33452
     0.58498     -0.22925      0.27867      0.05138
     0.58989      0.01222      0.04907      0.06434
     0.16368     -0.13618      0.08621      0.16237
     0.38292     -0.00806     -0.00366     -0.08093
     0.10410     -0.01444     -0.06761      0.13626
     0.26682     -0.35591     -0.56723      0.09433
     1.07961     -0.02466      0.01602      0.10581
     0.20259      0.02377     -0.02246      0.05496
     0.13247     -0.06203     -0.03831      0.18437
     0.33929     -0.45412      0.50532     -0.00676
     1.09387     -0.05140      0.01524     -0.28441
     0.43902     -0.01452      0.03696     -0.78450
     1.23994      0.20591     -0.23033      0.52841
     1.01694     -0.12995     -0.11170     -0.22157
     0.41860     -0.29828     -0.23338     -0.24141
     0.69388      0.05709      0.06752     -0.50252
     0.80280      0.21143     -0.05224      0.06622
     0.39307     -0.00814     -0.00147     -0.00753
     0.01806      0.18329     -0.05797      0.09909
     0.37711      0.01998     -0.10587      0.11416
     0.27128     -0.06312     -0.03843     -0.06351
     0.12338     -0.03261     -0.02328     -0.07209
     0.09932     -0.14121     -0.16915      0.09072
     0.37858      0.08830      0.11398     -0.23255
