    -0.04172     -0.01141      0.05249
     1.27882     -0.00925     -0.00054      0.00414
     0.37070      0.00213     -0.01166     -0.02169
     0.27274     -0.00079     -0.08316      0.06653
     1.92645     -0.01527     -0.00117     -0.00439
     0.23246     -0.01133     -0.00592     -0.01930
     0.04547     -0.00656      0.01023     -0.02123
     0.30395     -0.01112     -0.00484      0.01247
     0.49645      0.00969     -0.01474      0.06855
     1.49957     -0.01068     -0.00402     -0.02164
     0.09387     -0.01116     -0.00591     -0.01213
     0.08096     -0.00651     -0.00758     -0.02439
     0.16267     -0.03412     -0.01296     -0.05403
     0.74121     -0.00475      0.06885     -0.06166
     1.48718      0.00206     -0.02572      0.00004
     0.49889      0.01044     -0.00777     -0.00955
     0.40352      0.02501     -0.02877      0.07285
     1.68823     -0.01427     -0.04005     -0.00493
     0.60861     -0.01661     -0.02019     -0.00764
     0.29275     -0.01579      0.00328      0.06633
     1.41866      0.01701      0.02209      0.01938
     0.92203     -0.03387     -0.04891      0.00592
     0.89783      0.01658      0.00789     -0.00643
     0.57068     -0.01166     -0.00568     -0.01421
     0.04545     -0.01053     -0.00449     -0.02771
     0.18955     -0.01223     -0.01698     -0.02639
     0.24463     -0.01164      0.02779     -0.02023
     0.57909     -0.03277     -0.02050      0.01050
     0.62762     -0.00836      0.02757      0.00594
     0.69281     -0.08164      0.02566     -0.04746
     1.39511     -0.02885     -0.02517     -0.02704
     0.46157     -0.08718      0.00428      0.04285
     1.63291     -0.01198     -0.01188      0.06670
     1.41768      0.02440     -0.01628     -0.00450
     0.67603      0.00091     -0.01439     -0.02058
     0.26961     -0.02606      0.00956      0.04729
     1.14235     -0.01076      0.00734     -0.00681
     0.28609     -0.03007      0.01151     -0.06314
     0.89377     -0.04387      0.03536     -0.00684
     0.90127     -0.00864      0.00186     -0.00494
     0.25007     -0.03029      0.00728      0.00936
     0.58504     -0.01160     -0.00584     -0.02614
     0.15905     -0.01253     -0.01517      0.00555
     0.40767     -0.06235     -0.08806     -0.00057
     1.64951     -0.01402     -0.00296      0.00111
     0.30953     -0.00695     -0.00858     -0.00631
     0.20241     -0.01947     -0.01089      0.01257
     0.51840     -0.07667      0.06843     -0.01532
     1.67129     -0.01792     -0.00308     -0.05583
     0.67076     -0.01254      0.00009     -0.12879
     1.89668      0.01962     -0.03891      0.06276
     1.55375     -0.02938     -0.02160     -0.04666
     0.63956     -0.05394     -0.03935     -0.04955
     1.06016     -0.00209      0.00455     -0.08765
     1.22657      0.02043     -0.01292     -0.00467
     0.60056     -0.01161     -0.00552     -0.01543
     0.02759      0.01632     -0.01376      0.00013
     0.57617     -0.00750     -0.02075      0.00232
     0.41450     -0.01963     -0.01091     -0.02360
     0.18851     -0.01518     -0.00870     -0.02485
     0.15174     -0.03102     -0.02998     -0.00110
     0.57843      0.00246      0.01133     -0.04826
     0.65919     -0.01217     -0.00580      0.02077
     0.63625     -0.01100     -0.00614      0.01666
     0.56688      0.05868     -0.02177     -0.06712
     1.49647     -0.02903      0.02011     -0.14092
     2.16444     -0.01028     -0.00927     -0.01633
     0.06175     -0.06793     -0.05395      0.01474
     1.35319     -0.00036     -0.03675     -0.02502
     0.57228     -0.04131      0.00808     -0.03063
     0.59747     -0.01798     -0.00431     -0.01424
     0.11172     -0.01815      0.02748     -0.02147
     0.58505     -0.08081     -0.07434     -0.06687
     1.84507     -0.01822     -0.00131      0.01679
     0.58385     -0.01893     -0.01259     -0.00277
     0.28468     -0.01502      0.00544     -0.03878
     0.42446      0.02798      0.02293     -0.02742
     0.86008     -0.01266      0.02009     -0.00392
     0.49610     -0.00530      0.00679     -0.07194
     0.96730     -0.02093     -0.00318     -0.00072
     0.31390     -0.01333     -0.00716     -0.02615
     0.16071     -0.03476      0.03009     -0.00492
     0.75148     -0.02171      0.07787     -0.11355
     2.17272     -0.01323     -0.00589     -0.00895
     0.13386      0.02250      0.01452     -0.04505
     0.83572     -0.01917     -0.00844     -0.00936
     0.17656     -0.01205     -0.00616     -0.01523
     0.02638     -0.01194      0.03002      0.01889
     0.86144     -0.00642      0.01185     -0.00284
     0.39877      0.02165      0.01328     -0.01288
     0.66515      0.02774      0.02789     -0.00507
     0.91161     -0.05800      0.01441      0.00103
     0.90301      0.00345     -0.03936      0.00833
     0.75299     -0.02754      0.00438      0.05044
     1.18185      0.08206     -0.03811     -0.00658
     1.69490      0.05792     -0.09715      0.02883
     2.09359     -0.01371     -0.00707     -0.02073
     0.07315     -0.00015      0.00310     -0.05559
     0.70637      0.01740     -0.00820     -0.01686
     0.50263     -0.01796     -0.04080     -0.03914
     0.70471     -0.01186     -0.03146      0.00018
     0.51540      0.00435     -0.01260     -0.03738
     0.46064     -0.01084     -0.00720     -0.06489
     0.81562     -0.03240      0.03700     -0.05966
     1.08673     -0.01233     -0.00617     -0.01552
     0.02146     -0.01030     -0.00013     -0.05354
     0.63219      0.00444     -0.02863      0.05203
     1.25817     -0.00343      0.00160     -0.01423
     0.20349     -0.00648     -0.02459     -0.14724
     2.23088     -0.00158     -0.02606      0.05133
     1.21549      0.02764     -0.01470     -0.13023
     2.03891     -0.01354      0.02727     -0.03240
     0.62646     -0.03493     -0.00751     -0.02219
     0.39649     -0.00058     -0.06984      0.03045
     1.35700     -0.02413      0.02217     -0.04877
     0.75231      0.00306      0.02612     -0.05231
     0.85403     -0.02003     -0.00523     -0.01252
     0.15196     -0.02394     -0.01018     -0.00898
     0.24813      0.02330      0.00395      0.03780
     1.11652     -0.01170     -0.00563     -0.01698
     0.01342     -0.01144     -0.00806     -0.01416
     0.05589      0.00052     -0.00037      0.00870
     0.49254     -0.02341      0.00113      0.00165
     0.38607     -0.01412      0.00008     -0.00474
     0.23247      0.00461      0.00196     -0.03154
     0.40348     -0.01829      0.01777     -0.00262
     0.48299     -0.14097      0.07299     -0.01250
     2.55787     -0.00985     -0.00752     -0.01034
     0.11821     -0.00149      0.00639     -0.08047
     1.11485     -0.01180     -0.02297      0.00077
     0.41121     -0.00769     -0.00253     -0.01525
     0.10193     -0.00721      0.00958     -0.01712
     0.28068      0.01745     -0.02934     -0.03681
     0.72192     -0.06625     -0.02798      0.04371
     1.42311     -0.10253      0.00791      0.07885
     2.24171     -0.00316     -0.00112      0.00114
     0.35091     -0.02800     -0.00920     -0.02312
     0.29296     -0.06509     -0.09043      0.02421
     1.82262      0.05026     -0.00228     -0.09802
     1.73754     -0.01701     -0.00684      0.00829
     0.43270      0.01636     -0.01454     -0.02166
     0.51085      0.09299      0.01476     -0.03448
     1.84193      0.02619     -0.04371      0.00435
     0.97730     -0.00587      0.02530      0.04972
     1.25148     -0.06407     -0.02461      0.07327
     1.78829     -0.01069     -0.00705     -0.02765
     0.18648     -0.02286     -0.00659     -0.02138
     0.19691     -0.00261     -0.01164     -0.00566
     0.26522     -0.01453     -0.00334     -0.02065
     0.09069     -0.00980      0.01257      0.05767
     1.30167     -0.03276     -0.08630     -0.00603
     1.41293     -0.00778      0.01543     -0.00731
     0.40717     -0.01505     -0.00014     -0.05799
     0.70746     -0.02580     -0.01264      0.02970
     0.82776     -0.00866     -0.01435     -0.01448
     0.15546     -0.06461     -0.00703      0.08937
     2.00591     -0.00120      0.01580     -0.01200
     0.42470     -0.01146     -0.00583     -0.01522
     0.02994     -0.03703      0.01666      0.02771
     0.94623      0.00813     -0.02034     -0.11740
     1.75577     -0.01686      0.03093     -0.00061
     0.69094     -0.05530     -0.04706     -0.03448
     1.04985      0.02024     -0.09837      0.00296
     1.68886     -0.01152     -0.00589     -0.01581
     0.02074     -0.00334     -0.00508      0.02182
     0.67134      0.04602     -0.04585     -0.01867
     1.19374     -0.01934     -0.00469     -0.01714
     0.12391     -0.00938     -0.01304      0.01908
     0.62038     -0.03828     -0.01921     -0.10134
     1.51544     -0.03094      0.01263     -0.00718
     0.47871      0.00355     -0.02723     -0.03991
     0.59303     -0.01093     -0.00583     -0.01612
     0.02500     -0.01726     -0.00630     -0.05427
     0.64094     -0.00845     -0.00540     -0.00328
     0.23783     -0.01782      0.00663     -0.01106
     0.25644     -0.02078      0.01077     -0.04584
     0.58844     -0.00709      0.00186     -0.01899
     0.16606     -0.00566     -0.01549     -0.01371
     0.19937     -0.00982     -0.00489     -0.04303
     0.44722     -0.05016     -0.00049     -0.02520
     0.66587     -0.01179     -0.04326     -0.01205
     0.63295     -0.02740     -0.05243     -0.02187
     0.82890     -0.02183      0.00890     -0.11270
     1.65337     -0.05465     -0.03195     -0.10216
     1.67340     -0.04964      0.01559     -0.07214
     1.19112     -0.00656      0.01905     -0.12528
     1.88527     -0.01619     -0.00058     -0.01292
     0.13396      0.00870      0.02192      0.00445
     0.69430     -0.01106      0.02043      0.04257
     1.10241     -0.00905     -0.00805     -0.01972
     0.07940      0.00768      0.01098     -0.01587
     0.44559      0.00086      0.05864     -0.02560
     1.13075     -0.00588     -0.01163     -0.08944
     1.23920     -0.03745      0.01553      0.02979
     0.97021      0.00002     -0.00330      0.01086
     0.51444     -0.01128      0.00139      0.01176
     0.50067     -0.00393     -0.00559     -0.00990
     0.18265     -0.01216     -0.00503     -0.01667
     0.02000     -0.01796      0.03900     -0.00520
     0.79673     -0.01525     -0.00378     -0.01389
     0.08223     -0.01153     -0.00593     -0.01494
