    -0.02348     -0.00820      0.00968
     2.32348     -0.00874     -0.00426     -0.00993
     0.36371     -0.01824     -0.00735     -0.01920
     0.30364     -0.03240     -0.03838     -0.00112
     1.88910      0.01166     -0.00471     -0.04781
     1.80092     -0.01404     -0.00645     -0.00720
     0.44849     -0.00129     -0.00939     -0.01864
     0.52948      0.02798      0.00180     -0.02354
     1.90912      0.00246     -0.02053     -0.00871
     1.01294     -0.00978      0.00583      0.00862
     1.29712     -0.03201     -0.01324      0.01762
     1.85352     -0.01162     -0.00653     -0.02093
     0.19328     -0.01627     -0.00635     -0.01854
     0.20409     -0.00854     -0.00828     -0.01253
     0.27489     -0.01309     -0.00511     -0.01826
     0.09400     -0.01128      0.00097      0.01166
     1.34915     -0.02005     -0.03680     -0.01267
     1.46447     -0.01051      0.00206     -0.01316
     0.42202     -0.01329     -0.00389     -0.03252
     0.73326     -0.01740     -0.00866      0.00097
     0.85795     -0.01085     -0.00932     -0.01590
     0.16113     -0.03222     -0.00652      0.02377
     2.07908     -0.00800      0.00220     -0.01496
     0.44019     -0.01192     -0.00606     -0.01618
     0.03103     -0.02168      0.00253      0.00021
     0.98075     -0.00443     -0.01160     -0.05521
     1.81981     -0.01398      0.00798     -0.01060
     0.71615     -0.02866     -0.02181     -0.02354
     1.08815      0.00019     -0.04141     -0.00924
     1.75046     -0.01194     -0.00609     -0.01641
     0.02150     -0.00882     -0.00578     -0.00203
     0.69582      0.01004     -0.02135     -0.01750
     1.23728     -0.01493     -0.00563     -0.01692
     0.12843     -0.01112     -0.00882     -0.00308
     0.64301     -0.02216     -0.01118     -0.04908
     1.57071     -0.01936      0.00099     -0.01311
     0.49617     -0.00618     -0.01424     -0.02562
     0.61466     -0.01172     -0.00606     -0.01653
     0.02591     -0.01413     -0.00624     -0.03110
     0.66432     -0.01077     -0.00590     -0.01162
     0.24650     -0.01435     -0.00130     -0.01460
     0.26579     -0.01548      0.00028     -0.02788
     0.60990     -0.01025     -0.00313     -0.01762
     0.17212     -0.00970     -0.00975     -0.01561
     0.20664     -0.01129     -0.00570     -0.02681
     0.46353     -0.02670     -0.00402     -0.02000
     0.69015     -0.01204     -0.02036     -0.01497
     0.65603     -0.01800     -0.02386     -0.01873
     0.85914     -0.01588     -0.00044     -0.05342
     1.71367     -0.02841     -0.01604     -0.04939
     1.73444     -0.02650      0.00212     -0.03793
     1.23457     -0.01005      0.00344     -0.05822
     1.95420     -0.01373     -0.00406     -0.01531
     0.13884     -0.00422      0.00454     -0.00867
     0.71962     -0.01176      0.00397      0.00589
     1.14262     -0.01100     -0.00691     -0.01790
     0.08230     -0.00461      0.00036     -0.01643
     0.46184     -0.00721      0.01856     -0.02015
     1.17199     -0.00978     -0.00828     -0.04453
     1.28440     -0.02184      0.00210      0.00101
     1.00560     -0.00753     -0.00510     -0.00622
     0.53320     -0.01185     -0.00331     -0.00588
     0.51893     -0.00904     -0.00597     -0.01415
     0.18931     -0.01218     -0.00576     -0.01674
     0.02072     -0.01440      0.01106     -0.01236
     0.82579     -0.01336     -0.00528     -0.01568
     0.08523     -0.01194     -0.00610     -0.01608
     0.03468     -0.01132      0.00868     -0.04036
     1.28305     -0.01020     -0.00831     -0.01625
     0.13552     -0.01155     -0.02070     -0.01478
     0.67335     -0.01213     -0.00620     -0.01646
     0.01495     -0.00707     -0.00834     -0.03254
     0.76811     -0.00076     -0.01698     -0.02580
     0.83281     -0.01097     -0.00608     -0.01970
     0.14567     -0.01177     -0.00627     -0.00166
     0.69561     -0.03328     -0.03059     -0.04916
     2.10046     -0.00747     -0.02269     -0.00101
     1.07109     -0.03233      0.01228     -0.00370
     1.39302     -0.00914     -0.00126     -0.01639
     0.26796     -0.02285      0.02974     -0.02767
     1.79528     -0.00085     -0.00917     -0.03957
     1.17850     -0.01815     -0.00328     -0.02075
     0.35545     -0.01546     -0.00505     -0.01827
     0.17338     -0.01309      0.00080     -0.01826
     0.33189     -0.01165     -0.00702     -0.02196
     0.24255     -0.01710     -0.00105     -0.01894
     0.34189     -0.02523      0.00728     -0.01712
     0.86241     -0.00576      0.00165     -0.01862
     0.47479     -0.01152     -0.00184     -0.00985
     0.37773     -0.01558      0.00182     -0.07308
     2.60708     -0.01263     -0.00272     -0.02064
     0.24020     -0.01608     -0.00235      0.00093
     0.85229      0.01655      0.00987     -0.02065
     1.52471     -0.00528     -0.00890     -0.00978
     0.46917     -0.05215     -0.01557     -0.02240
     1.90415     -0.02074     -0.00718      0.00655
     1.14302     -0.01127     -0.00656     -0.03405
     0.79514     -0.01253     -0.00581     -0.01899
     0.10449     -0.00885     -0.00376     -0.01069
     0.33866     -0.01769      0.00028     -0.03286
     0.83643     -0.00089     -0.00489     -0.01665
     0.52373     -0.00879     -0.00692     -0.01747
     0.16325     -0.01430     -0.00574     -0.01513
     0.12473      0.00285     -0.00994     -0.04831
     1.61538      0.02401      0.03092     -0.01628
     2.38446     -0.01192     -0.00673     -0.02326
     0.29923     -0.01318     -0.01026      0.00276
     0.91879     -0.00778     -0.00669      0.00858
     1.18382     -0.02174     -0.00998     -0.04395
     1.33527     -0.01207     -0.00617     -0.01628
     0.02393     -0.01555     -0.00074     -0.01392
     0.32276     -0.01117     -0.00532      0.00018
     0.78212     -0.01193     -0.00611     -0.03029
     0.62122     -0.00803     -0.01528     -0.00183
     0.82655     -0.01192     -0.00628     -0.01619
     0.03026     -0.02691     -0.01033     -0.02470
     0.79130     -0.01616      0.00716     -0.00937
     0.72608     -0.00811     -0.00004     -0.00257
     0.73675      0.01134     -0.01924     -0.02895
     1.35766     -0.01036     -0.00563     -0.01395
     0.15733      0.00365     -0.00442     -0.03686
     1.17896     -0.01154     -0.00745     -0.01598
     0.07433     -0.01796      0.00824      0.01600
     1.66806     -0.03994      0.02619     -0.01048
     1.98213     -0.01642      0.00689     -0.02645
     0.77305     -0.01433     -0.00624     -0.05012
     1.53608     -0.01284     -0.00930      0.00233
     0.89055     -0.01198     -0.00602     -0.01644
     0.02056      0.00097     -0.00859     -0.02817
     0.80785     -0.01765     -0.01761     -0.00089
     0.93362     -0.00935     -0.00052     -0.03771
     1.00571     -0.04657      0.01406     -0.04395
     2.21577     -0.01158     -0.00655     -0.00327
     0.62212     -0.00801     -0.01751     -0.05463
     1.82654     -0.00075     -0.00110     -0.02888
     0.80129      0.00968     -0.00854     -0.03833
     1.41583     -0.05008      0.02524     -0.01782
     2.25945      0.00367     -0.01810     -0.03811
     1.33900     -0.01377     -0.00310     -0.01701
     0.16034     -0.01101     -0.00492     -0.02299
     0.29645     -0.01006     -0.00916     -0.01707
     0.16806     -0.01080     -0.00043     -0.01608
     0.27505     -0.01320     -0.01096     -0.00810
     0.45721     -0.01018      0.00100     -0.02328
     0.45593     -0.01250     -0.00514     -0.01548
     0.07844      0.01914      0.02526     -0.03155
     2.14844     -0.01225     -0.00590     -0.00449
     0.56529     -0.00772     -0.00247     -0.01942
     0.29460     -0.01379     -0.00215      0.01116
     1.29999     -0.03980     -0.00549     -0.04928
