    38.64678     55.58715    -11.00000    290.00000     50.00000     90.00000
    60.62240     66.70458    -10.00000     42.00000     53.00000    105.00000
    27.28008     15.56440    -10.00000     32.25136     50.21618    157.63767
    28.79564     34.46403    -15.00000     40.00000     45.00000     90.00000
    29.25031     34.79756    -15.00000     51.31278     46.30233     95.76402
    52.96882     52.47427    -10.00000     35.69535     38.68149    122.01776
    69.71576     60.03412    -28.00000    349.00000     67.00000     20.00000
    37.13122     55.58715     -5.00000    279.00000     59.00000     60.00000
    21.21784     11.11743    -22.00000    335.00000     46.00000     76.00000
    31.06898     57.81064     -4.00000    327.18787     44.81335    125.52964
    48.49792     68.92807    -20.00000    334.69973     27.16990    112.25395
    12.12448     23.34660    -12.00000    351.75092     53.01601    115.77331
    16.67116     26.68183     -7.00000     60.60064     75.97154    110.90570
    -5.38024     27.01535    -20.00000    346.34782     48.77901     98.88645
    56.07572     57.81064    -11.00000      9.88553     60.85785    101.06849
    55.76680     57.24350    -10.51420     16.61286     52.67696     97.72608
    35.83890     21.28830    -22.06900     44.32129     49.90357    109.88776
    19.60320     28.14860     -8.03870     62.87122     30.53926    100.26216
    47.20969     72.93034    -21.00000     32.00000     48.00000     89.00000
    40.77480     55.05720     -9.86180     34.00000     65.00000     65.00000
    17.88361     22.23486    -16.00000     21.49522     70.78846    104.66535
    55.68840     64.23520    -23.12010     18.00000     80.00000     22.00000
    18.03516     35.01990     -4.00000    280.00000     60.00000     39.00000
    37.58589     53.91954     -5.00000     76.00000     27.00000    -62.00000
    48.13980     62.62900    -16.83150     37.00000     56.00000     90.00000
    29.95250     43.30100    -12.39860     37.00000     56.00000     90.00000
    21.67251     26.34831    -11.00000     70.00000     70.00000    -15.00000
    43.38520     35.18380    -13.89670     27.70808     50.73169    122.06861
    34.68270     36.54420    -13.39960     73.00000     62.00000     74.00000
    41.73940     31.51360    -13.10320     37.85839     46.58737    151.91196
    46.33920     54.49780     -6.72030    324.00000     24.00000     44.00000
    49.29960     45.32370    -10.05180     75.30815     72.23578   -113.30536
    53.34330     50.53100    -12.59780      2.19730     46.04325    164.62933
    34.43110     43.09450    -20.58980     30.89248     79.78647    121.55105
    15.98916     25.34774     -4.00000     71.00000     50.00000    -29.00000
    42.29960     39.33190    -10.46130     10.00000     23.00000     30.00000
    30.89780     34.07140    -16.32190    346.49731     68.36529    118.20867
    52.03240     52.16680     -9.14300     31.01302     53.41903    170.01949
